t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.8499999999999064,7.460698725481052e-14,0.0002297887144484534,5.898472099641339e-08,6.650235917504688e-14,6.88338275267597e-14,6.683542608243442e-14
1.8509999999999063,7.471800955727304e-14,0.00022993475386201556,5.9011022623955967e-08,6.661338147750939e-14,6.894484982922222e-14,6.694644838489694e-14
1.8519999999999062,7.482903185973555e-14,0.0002300806355515217,5.90372816189344e-08,6.661338147750939e-14,6.905587213168474e-14,6.694644838489694e-14
1.852999999999906,7.482903185973555e-14,0.00023022635977221206,5.906349809237099e-08,6.661338147750939e-14,6.905587213168474e-14,6.694644838489694e-14
1.853999999999906,7.494005416219807e-14,0.00023037192677899387,5.908967215528804e-08,6.672440377997191e-14,6.916689443414725e-14,6.705747068735946e-14
1.8549999999999058,7.505107646466058e-14,0.0002305173368261082,5.911580402973016e-08,6.683542608243442e-14,6.927791673660977e-14,6.716849298982197e-14
1.8559999999999057,7.505107646466058e-14,0.000230662590167241,5.914189360467503e-08,6.683542608243442e-14,6.927791673660977e-14,6.716849298982197e-14
1.8569999999999056,7.51620987671231e-14,0.00023080768705574517,5.9167941102167276e-08,6.694644838489694e-14,6.938893903907228e-14,6.727951529228449e-14
1.8579999999999055,7.51620987671231e-14,0.0002309526277439744,5.9193946411184584e-08,6.694644838489694e-14,6.938893903907228e-14,6.727951529228449e-14
1.8589999999999054,7.527312106958561e-14,0.0002310974124842824,5.921990986479386e-08,6.705747068735946e-14,6.94999613415348e-14,6.7390537594747e-14
1.8599999999999053,7.538414337204813e-14,0.00023124204152813466,5.924583146299511e-08,6.716849298982197e-14,6.961098364399732e-14,6.750155989720952e-14
1.8609999999999052,7.549516567451064e-14,0.00023138651512655262,5.9271711205788336e-08,6.716849298982197e-14,6.972200594645983e-14,6.750155989720952e-14
1.861999999999905,7.549516567451064e-14,0.00023153083352989157,5.9297549315218134e-08,6.716849298982197e-14,6.972200594645983e-14,6.750155989720952e-14
1.862999999999905,7.560618797697316e-14,0.00023167499698828475,5.932334590230681e-08,6.727951529228449e-14,6.983302824892235e-14,6.761258219967203e-14
1.8639999999999048,7.571721027943568e-14,0.00023181900575097725,5.934910096705437e-08,6.7390537594747e-14,6.994405055138486e-14,6.772360450213455e-14
1.8649999999999047,7.571721027943568e-14,0.00023196286006688105,5.9374814509460805e-08,6.7390537594747e-14,6.994405055138486e-14,6.772360450213455e-14
1.8659999999999046,7.571721027943568e-14,0.00023210656018424203,5.9400486751570725e-08,6.7390537594747e-14,6.994405055138486e-14,6.772360450213455e-14
1.8669999999999045,7.582823258189819e-14,0.000232250106351084,5.942611780440643e-08,6.750155989720952e-14,7.005507285384738e-14,6.783462680459706e-14
1.8679999999999044,7.582823258189819e-14,0.0002323934988144316,5.9451707667967923e-08,6.750155989720952e-14,7.005507285384738e-14,6.783462680459706e-14
1.8689999999999043,7.593925488436071e-14,0.00023253673782119844,5.947725656429981e-08,6.761258219967203e-14,7.016609515630989e-14,6.794564910705958e-14
1.8699999999999042,7.605027718682322e-14,0.00023267982361752093,5.950276438237978e-08,6.772360450213455e-14,7.027711745877241e-14,6.80566714095221e-14
1.870999999999904,7.605027718682322e-14,0.00023282275644898043,5.9528231233230144e-08,6.772360450213455e-14,7.027711745877241e-14,6.80566714095221e-14
1.871999999999904,7.616129948928574e-14,0.00023296553656093621,5.955365744991781e-08,6.783462680459706e-14,7.038813976123492e-14,6.816769371198461e-14
1.8729999999999039,7.627232179174825e-14,0.0002331081641978594,5.9579042921420466e-08,6.794564910705958e-14,7.049916206369744e-14,6.827871601444713e-14
1.8739999999999037,7.627232179174825e-14,0.00023325063960388803,5.960438764773812e-08,6.794564910705958e-14,7.049916206369744e-14,6.827871601444713e-14
1.8749999999999036,7.638334409421077e-14,0.00023339296302271606,5.962969196193768e-08,6.80566714095221e-14,7.061018436615996e-14,6.838973831690964e-14
1.8759999999999035,7.638334409421077e-14,0.00023353513469726028,5.965495564197454e-08,6.80566714095221e-14,7.061018436615996e-14,6.838973831690964e-14
1.8769999999999034,7.638334409421077e-14,0.00023367715487021545,5.96801790209156e-08,6.80566714095221e-14,7.061018436615996e-14,6.838973831690964e-14
1.8779999999999033,7.649436639667329e-14,0.0002338190237836102,5.970536220978317e-08,6.816769371198461e-14,7.072120666862247e-14,6.850076061937216e-14
1.8789999999999032,7.649436639667329e-14,0.00023396074167880698,5.973050509755495e-08,6.816769371198461e-14,7.072120666862247e-14,6.850076061937216e-14
